	  0.000	  8.460
          0.004	  8.592
          0.008	  8.352
          0.012	  8.152
          0.016	  8.340
          0.020	  8.528
          0.024	  8.312
          0.028	  8.084
          0.032	  8.248
          0.036	  8.444
          0.040	  8.308
          0.044	  8.084
          0.048	  8.184
          0.052	  8.420
          0.056	  8.340
          0.060	  8.100
          0.064	  8.132
          0.068	  8.356
          0.072	  8.380
          0.076	  8.136
          0.080	  8.060
          0.084	  8.316
          0.088	  8.448
          0.092	  8.180
          0.096	  8.052
          0.100	  8.280
          0.104	  8.428
          0.108	  8.196
          0.112	  8.036
          0.116	  8.268
          0.120	  8.452
          0.124	  8.280
          0.128	  8.052
          0.132	  8.220
          0.136	  8.448
          0.140	  8.300
          0.144	  8.084
          0.148	  8.176
          0.152	  8.400
          0.156	  8.376
          0.160	  8.132
          0.164	  8.160
          0.168	  8.424
          0.172	  8.440
          0.176	  8.172
          0.180	  8.116
          0.184	  8.368
          0.188	  8.476
          0.192	  8.244
          0.196	  8.108
          0.200	  8.328
          0.204	  8.488
          0.208	  8.268
          0.212	  8.092
          0.216	  8.264
          0.220	  8.492
          0.224	  8.292
          0.228	  8.112
          0.232	  8.252
          0.236	  8.468
          0.240	  8.312
          0.244	  8.096
          0.248	  8.196
          0.252	  8.456
          0.256	  8.376
          0.260	  8.156
          0.264	  8.168
          0.268	  8.412
          0.272	  8.424
          0.276	  8.176
          0.280	  8.100
          0.284	  8.372
          0.288	  8.464
          0.292	  8.212
          0.296	  8.076
          0.300	  8.316
          0.304	  8.468
          0.308	  8.236
          0.312	  8.064
          0.316	  8.272
          0.320	  8.480
          0.324	  8.304
          0.328	  8.120
          0.332	  8.252
          0.336	  8.464
          0.340	  8.324
          0.344	  8.096
          0.348	  8.164
          0.352	  8.404
          0.356	  8.368
          0.360	  8.144
          0.364	  8.144
          0.368	  8.376
          0.372	  8.412
          0.376	  8.160
          0.380	  8.068
          0.384	  8.332
          0.388	  8.444
          0.392	  8.216
          0.396	  8.080
          0.400	  8.308
          0.404	  8.472
          0.408	  8.248
          0.412	  8.080
          0.416	  8.304
          0.420	  8.480
          0.424	  8.296
          0.428	  8.080
          0.432	  8.252
          0.436	  8.484
          0.440	  8.336
          0.444	  8.084
          0.448	  8.172
          0.452	  8.460
          0.456	  8.436
          0.460	  8.216
          0.464	  8.216
          0.468	  8.496
          0.472	  8.528
          0.476	  8.288
          0.480	  8.220
          0.484	  8.452
          0.488	  8.588
          0.492	  8.336
          0.496	  8.240
          0.500	  8.464
          0.504	  8.636
          0.508	  8.380
          0.512	  8.196
          0.516	  8.392
          0.520	  8.580
          0.524	  8.436
          0.528	  8.212
          0.532	  8.380
          0.536	  8.560
          0.540	  8.436
          0.544	  8.168
          0.548	  8.208
          0.552	  8.392
          0.556	  8.348
          0.560	  8.088
          0.564	  8.108
          0.568	  8.376
          0.572	  8.396
          0.576	  8.156
          0.580	  8.080
          0.584	  8.312
          0.588	  8.432
          0.592	  8.180
          0.596	  8.052
          0.600	  8.288
          0.604	  8.428
          0.608	  8.216
          0.612	  8.032
          0.616	  8.252
          0.620	  8.448
          0.624	  8.268
          0.628	  7.976
          0.632	  8.040
          0.636	  8.320
          0.640	  8.328
          0.644	  8.284
          0.648	  8.840
          0.652	  9.652
          0.656	 10.136
          0.660	 10.076
          0.664	  9.592
          0.668	  9.200
          0.672	  9.008
          0.676	  8.640
          0.680	  8.460
          0.684	  8.612
          0.688	  8.620
          0.692	  8.316
          0.696	  8.176
          0.700	  8.396
          0.704	  8.564
          0.708	  8.308
          0.712	  8.116
          0.716	  8.320
          0.720	  8.500
          0.724	  8.320
          0.728	  8.064
          0.732	  8.256
          0.736	  8.476
          0.740	  8.344
          0.744	  8.128
          0.748	  8.192
          0.752	  8.448
          0.756	  8.404
          0.760	  8.148
          0.764	  8.160
          0.768	  8.396
          0.772	  8.460
          0.776	  8.200
          0.780	  8.148
          0.784	  8.380
          0.788	  8.484
          0.792	  8.244
          0.796	  8.124
          0.800	  8.344
          0.804	  8.492
          0.808	  8.304
          0.812	  8.108
          0.816	  8.320
          0.820	  8.504
          0.824	  8.332
          0.828	  8.108
          0.832	  8.252
          0.836	  8.480
          0.840	  8.388
          0.844	  8.172
          0.848	  8.236
          0.852	  8.476
          0.856	  8.464
          0.860	  8.212
          0.864	  8.196
          0.868	  8.472
          0.872	  8.528
          0.876	  8.268
          0.880	  8.212
          0.884	  8.452
          0.888	  8.608
          0.892	  8.380
          0.896	  8.236
          0.900	  8.480
          0.904	  8.668
          0.908	  8.472
          0.912	  8.284
          0.916	  8.504
          0.920	  8.724
          0.924	  8.580
          0.928	  8.376
          0.932	  8.528
          0.936	  8.796
          0.940	  8.700
          0.944	  8.500
          0.948	  8.568
          0.952	  8.828
          0.956	  8.796
          0.960	  8.572
          0.964	  8.556
          0.968	  8.796
          0.972	  8.852
          0.976	  8.572
          0.980	  8.464
          0.984	  8.664
          0.988	  8.748
          0.992	  8.500
          0.996	  8.332
          1.000	  8.500
          1.004	  8.640
          1.008	  8.416
          1.012	  8.216
          1.016	  8.412
          1.020	  8.612
          1.024	  8.396
          1.028	  8.180
          1.032	  8.316
          1.036	  8.552
          1.040	  8.408
          1.044	  8.172
          1.048	  8.236
          1.052	  8.500
          1.056	  8.460
          1.060	  8.228
          1.064	  8.220
          1.068	  8.440
          1.072	  8.480
          1.076	  8.256
          1.080	  8.160
          1.084	  8.416
          1.088	  8.532
          1.092	  8.292
          1.096	  8.172
          1.100	  8.408
          1.104	  8.556
          1.108	  8.340
          1.112	  8.128
          1.116	  8.344
